Bug-ID,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,LOR-Revealing,LOR-Non-Revealing,LOR-No-Coverage,COR-Revealing,COR-Non-Revealing,COR-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,SOR-Revealing,SOR-Non-Revealing,SOR-No-Coverage,ORU-Revealing,ORU-Non-Revealing,ORU-No-Coverage,EVR-Revealing,EVR-Non-Revealing,EVR-No-Coverage,LVR-Revealing,LVR-Non-Revealing,LVR-No-Coverage,STD-Revealing,STD-Non-Revealing,STD-No-Coverage
Math-53f,0,291,5,0,0,0,1,92,15,0,33,7,0,0,0,0,4,0,0,0,0,0,67,5,0,8,1
Math-55f,16,642,26,0,0,0,0,33,11,1,28,14,0,0,0,0,14,1,0,0,0,6,68,12,0,0,0
Math-56f,0,28,4,0,0,0,0,7,1,0,41,7,0,0,0,0,0,0,0,0,0,0,44,6,1,13,1
Math-58f,0,80,0,0,0,0,0,13,5,0,47,22,0,0,0,0,2,0,0,0,0,0,55,18,0,8,2
Math-5f,0,355,5,0,0,0,1,127,18,2,56,6,0,0,0,0,10,0,0,0,0,0,105,5,0,8,1
Math-61f,0,20,0,0,0,0,0,2,2,0,14,4,0,0,0,0,2,0,0,0,0,0,19,1,0,4,0
Math-62f,14,10,4,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,1,10,7,0,8,5
Math-63f,0,398,82,0,35,1,0,124,42,0,398,120,0,11,5,0,28,0,0,0,0,0,439,69,0,84,5
Math-64f,0,442,18,0,0,0,0,38,16,0,167,120,0,0,0,0,6,0,0,0,0,0,207,69,0,118,27
Math-66f,4,167,1,0,0,0,9,15,6,18,40,15,0,0,0,0,5,1,0,0,0,1,30,13,6,39,0
Math-67f,17,38,5,0,0,4,1,5,2,3,11,17,0,0,0,0,0,0,0,0,0,5,37,4,7,19,16
Math-68f,0,442,18,0,0,0,0,38,16,0,165,118,0,0,0,0,6,0,0,0,0,0,207,69,0,122,12
Math-6f,177,734,381,0,0,6,8,71,75,33,345,323,0,0,2,4,9,3,0,0,0,73,504,289,35,225,88
Math-70f,0,7,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,12,0,0,5,2
Math-71f,0,169,23,0,0,0,0,26,10,2,34,27,0,0,0,0,4,0,0,0,0,14,124,8,6,65,13
Math-73f,5,151,8,0,0,0,0,5,3,2,56,23,0,0,0,0,2,0,0,0,0,2,57,7,0,33,8
Math-75f,0,14,6,0,0,0,0,2,0,0,16,11,0,0,0,0,0,0,0,0,0,0,27,9,0,23,1
Math-77f,9,278,33,0,0,4,0,64,4,4,181,72,0,0,4,0,2,0,0,0,0,4,251,26,2,212,9
Math-78f,0,29,23,0,2,2,0,19,17,0,30,26,0,0,0,0,1,1,0,0,0,0,22,12,0,26,13
Math-79f,0,352,12,0,42,4,0,90,24,0,345,82,0,9,5,0,19,0,0,0,0,0,401,32,0,66,1
Math-7f,0,10,2,0,0,0,0,19,9,0,8,4,0,0,0,0,2,0,0,0,0,0,25,7,0,36,15
Math-80f,34,2090,1232,0,0,0,0,55,103,2,194,358,0,0,0,0,8,6,0,0,0,19,715,597,5,195,164
Math-83f,4,146,6,0,0,14,1,43,14,0,44,21,0,0,0,0,0,0,0,0,0,4,113,12,1,33,1
Math-85f,0,23,1,0,0,0,0,14,6,1,19,9,0,0,0,0,0,0,0,0,0,0,11,3,0,4,2
Math-86f,0,76,0,0,0,0,0,2,0,0,59,24,0,0,0,0,0,0,0,0,0,0,52,6,0,20,2
Math-87f,0,147,9,0,0,14,0,42,14,0,45,20,0,0,0,0,0,0,0,0,0,1,111,13,0,34,2
Math-89f,0,12,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,23,3,0,23,0
Math-90f,0,12,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,23,3,0,23,0
Math-92f,2,283,15,0,29,7,0,58,26,4,256,62,0,4,0,0,19,0,0,0,0,4,285,30,0,30,2
Math-93f,0,195,13,0,29,7,0,55,21,2,222,50,0,4,0,0,19,0,0,0,0,26,229,22,0,26,2
Math-94f,0,197,11,0,29,7,0,55,21,0,216,49,0,4,0,0,19,0,0,0,0,0,209,18,0,26,2
Math-95f,0,32,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,4,22,0,0,5,0
Math-96f,0,259,21,0,0,0,0,81,7,0,36,6,0,0,0,0,4,1,0,0,0,0,65,4,0,0,0
Math-97f,0,161,11,0,0,0,0,6,2,6,48,27,0,0,0,0,2,0,0,0,0,3,41,18,3,26,10
Math-98f,0,176,96,0,0,0,0,149,33,0,510,228,0,0,0,0,3,1,0,0,0,1,507,114,0,142,25
Math-99f,0,299,17,0,29,7,3,73,32,3,277,75,0,4,0,0,19,0,0,0,0,0,298,29,0,30,2
Math-9f,0,34,2,0,0,0,0,7,3,0,10,8,0,0,0,0,2,0,0,0,0,0,20,0,0,6,0
Mockito-17f,0,0,0,0,0,0,0,13,5,0,7,4,0,0,0,0,0,0,0,0,0,0,7,2,0,11,4
Mockito-29f,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Mockito-37f,0,0,0,0,0,0,2,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5
Time-11f,0,32,20,0,0,0,0,43,51,0,44,77,0,0,0,0,4,0,0,0,0,0,81,87,0,60,53
Time-13f,0,157,11,0,0,0,1,207,42,2,283,100,0,4,0,1,23,6,0,0,0,1,254,57,1,150,19
Time-15f,0,68,0,0,12,0,0,46,10,1,74,21,0,0,0,0,6,0,0,0,0,0,34,4,0,1,0
Time-1f,2,66,24,0,0,0,1,11,2,2,93,25,0,0,0,0,0,0,0,0,0,1,128,14,0,43,3
Time-22f,0,0,0,0,0,0,0,19,5,0,42,12,0,0,0,0,0,0,0,0,0,0,40,1,0,63,3
Time-24f,0,23,1,0,0,0,1,26,5,2,36,18,0,0,0,0,2,0,0,0,0,0,55,9,1,30,13
Time-27f,0,159,9,0,0,0,1,201,44,0,271,104,0,4,0,0,25,3,0,0,0,0,253,51,0,151,18
Time-2f,0,66,18,0,0,0,1,8,1,1,92,24,0,0,0,0,0,0,0,0,0,1,128,11,0,43,3
Time-5f,0,158,18,0,0,0,1,19,2,3,57,7,0,0,0,0,26,6,0,0,0,1,164,5,0,68,16
